fir_number,district,police_station,crime_type,ipc_bns_sections,incident_date,report_date,location_description,latitude,longitude,complainant_name,complainant_age,complainant_gender,complainant_contact,accused_name,accused_age,accused_gender,accused_count,weapon_used,property_loss_inr,case_status,case_outcome,investigating_officer,severity,is_juvenile_involved
0016/2025,Shivamogga,Town PS,Burglary,"331(4), 305",2025-04-25,2025-04-29,"65/672, Gala Circle",17.8171,74.740867,Imaran Sami,23,Male,0047184516,Warinder Lall,44,Female,1,None,240938.53,FIR Registered,,ASI Batra,Medium,Yes
0017/2021,Tumakuru,Bharathinagar PS,Rioting,"147, 191",2021-03-14,2021-03-17,"H.No. 481, Rege Ganj",15.554262,76.439878,Harini Patla,64,Other,5613442923,Tanveer Kakar; Triya Rout; Devika Dhingra,27,Male,3,Acid,0,Acquitted,Convicted,PSI Toor,Low,No
0018/2023,Bengaluru Urban,Cubbon Park PS,Public Nuisance,"268, 270",2023-05-07,2023-05-11,"H.No. 06, Dar Ganj",12.06078,74.836212,Tanmayi Sem,51,Male,+916011504139,Unknown,,,0,None,0,FIR Registered,,Inspector More,Low,No
0019/2022,Ballari,Cowl Bazar PS,Domestic Violence,"498A, 85",2022-07-12,2022-07-12,"H.No. 86, Kar Ganj",16.101612,76.543521,Tanveer Lal,54,Male,4288072808,Unknown,,,0,Knife,0,FIR Registered,,ASI Anne,Medium,No
0020/2025,Kalaburagi,Station Bazaar PS,Cybercrime - Phishing,"66C IT Act, 319",2025-07-06,2025-07-11,"51/41, Virk Path",11.565208,76.795217,Yoshita Mani,34,Female,06161929121,Siya Sur,60,Other,1,None,150348.54,Charge Sheet Filed,Convicted,CPI Tandon,Medium,No
0021/2020,Mysuru,Devaraja PS,Arson,"436, 324",2020-05-23,2020-05-27,"H.No. 310, Choudhury",17.336215,77.16593,Chaitaly Kakar,40,Male,+910169567603,Yachana Chawla,41,Female,1,None,0,Charge Sheet Filed,Dismissed,PSI Kata,High,No
0022/2021,Davanagere,P.G. Halli PS,Arson,"436, 324",2021-05-11,2021-05-16,"H.No. 70, Bail Street",15.372565,75.225567,Nandini Om,74,Male,2031440765,Girish Mann; Gaurika Merchant,25,Male,2,None,0,Under Investigation,,DySP Bala,High,No
0023/2023,Kalaburagi,Brahmapur PS,Kidnapping,"363, 137",2023-09-02,2023-09-05,"06/548, Chowdhury Circle",17.305437,74.19839,Ansh Thaman,72,Male,02431189335,Unknown,,,0,None,0,Charge Sheet Filed,Dismissed,DySP Pandey,High,No
0024/2019,Kalaburagi,Brahmapur PS,Kidnapping,"363, 137",2019-10-24,2019-10-29,"58/14, Banik",18.115357,77.109588,Warda Loyal,63,Female,+916673621352,Unknown,,,0,None,0,Case Closed,Convicted,SI Mittal,High,No
0025/2022,Mangaluru,Kankanady PS,Burglary,"331(4), 305",2022-02-21,2022-02-25,"H.No. 251, Khosla Road",12.970536,75.122884,Lila Jha,45,Male,4264232593,Unknown,,,0,None,154475.05,Pending Court Trial,Pending,SI Dora,Medium,No
0026/2022,Mysuru,Nazarbad PS,Arson,"436, 324",2022-07-23,2022-07-27,"H.No. 463, Krishnamurthy Zila",17.971411,77.520739,Anmol Zacharia,33,Male,0954825952,Gopal Sharma,44,Male,1,None,0,Convicted,Compounded,PSI Gulati,High,No
0027/2025,Belagavi,Tilakwadi PS,Cybercrime - Online Fraud,"66D IT Act, 318",2025-11-12,2025-11-12,"54/807, Upadhyay Ganj",11.665651,74.869084,Nisha Panchal,20,Female,+913691843783,Manthan Radhakrishnan,30,Female,1,None,175154.38,Case Closed,Acquitted,PSI Kant,Medium,No
0028/2025,Mysuru,Nazarbad PS,Drug Trafficking,"NDPS Act 20, NDPS Act 22",2025-03-12,2025-03-16,"13, Shankar Chowk",15.564128,78.425978,Libni Sinha,71,Other,+911018110728,Jeremiah Pant; Turvi Shanker,19,Male,2,None,0,Case Closed,Acquitted,CPI Sant,High,Yes
0029/2026,Ballari,Bruhat Bangalore PS,Drug Trafficking,"NDPS Act 20, NDPS Act 22",2026-03-04,2026-03-06,"16, Hans",16.461497,74.007611,Leena Kurian,50,Male,+915017665152,Saksham Yohannan; Christopher Madan; Nirja Dar,54,Male,3,None,0,Case Closed,Convicted,CPI Buch,High,No
0030/2022,Davanagere,P.G. Halli PS,Drug Trafficking,"NDPS Act 20, NDPS Act 22",2022-11-02,2022-11-02,"01/08, Goda Nagar",17.800328,76.282051,Zaid Master,39,Other,+915631158678,Dalbir Barman; Upadhriti Date,60,Male,2,None,0,FIR Registered,,DySP Mandal,High,No
0031/2024,Kalaburagi,Station Bazaar PS,Chain Snatching,"356, 304",2024-03-20,2024-03-21,"H.No. 51, Kari Circle",17.336076,75.367437,Keya Rau,60,Female,+919847122282,Gabriel Nayak,57,Other,1,None,150824.46,Under Investigation,,Inspector Naidu,Medium,No
0032/2022,Ballari,Bruhat Bangalore PS,Rioting,"147, 191",2022-12-15,2022-12-18,"H.No. 692, Sahota Zila",15.930586,75.508347,Ekiya Dhillon,50,Female,+913617502151,Ati Aurora,60,Male,1,Acid,0,Acquitted,Compounded,Inspector Sehgal,Low,No
0033/2020,Belagavi,Shahapur PS,Chain Snatching,"356, 304",2020-07-09,2020-07-10,"H.No. 91, Dasgupta Zila",15.529696,77.232557,Udarsh Gade,20,Male,7679725209,Gavin Tella; Madhav Rout; Warda Sawhney,57,Male,3,None,227980.38,Under Investigation,,DySP Sharaf,Medium,No
0034/2025,Tumakuru,City PS,Murder,"302, 103",2025-05-11,2025-05-16,"H.No. 546, Sant Zila",15.401841,78.128615,Baljiwan Narayanan,66,Male,05558837081,Harish Agrawal; Mitesh Sura; Nicholas Rajagopalan,32,Male,3,Rope,0,Under Investigation,,SI Wagle,High,No
0035/2024,Mangaluru,Mangaladevi PS,Extortion,"384, 308",2024-04-08,2024-04-12,"060, Murty Circle",13.314341,75.112579,Dipta Ramachandran,66,Female,02095791343,Reva Dada; Falguni Lal; Finn Garg,53,Female,3,Firearm,371955.89,Charge Sheet Filed,Dismissed,ASI Nagy,High,No
0036/2021,Davanagere,Vidyanagar PS,Domestic Violence,"498A, 85",2021-01-29,2021-02-01,"13/955, Batra Street",12.555815,75.723659,Yug Pau,36,Male,+917952438922,Samesh Sekhon; Garima Dua,39,Female,2,Knife,0,Under Investigation,,PSI Amble,Medium,No
0037/2022,Belagavi,Camp PS,Eve Teasing/Harassment,"354, 354A",2022-07-28,2022-07-30,"79/618, Sanghvi Ganj",11.636724,77.962955,Vansha Walla,44,Male,4336147234,Eiravati Nagarajan,44,Female,1,None,0,Pending Court Trial,Compounded,Inspector Natarajan,Low,No
0038/2021,Shivamogga,Town PS,Drug Trafficking,"NDPS Act 20, NDPS Act 22",2021-05-08,2021-05-11,"H.No. 271, Misra",14.550852,74.130612,Manya Bhakta,71,Female,8910493549,Pranit Dalal,49,Male,1,None,0,FIR Registered,,CPI Padmanabhan,High,No
0039/2019,Tumakuru,City PS,Rioting,"147, 191",2019-06-07,2019-06-11,"97, Wali Circle",12.449896,76.077643,Dominic Nagar,43,Other,00767707861,Unknown,,,0,Knife,0,Pending Court Trial,Dismissed,DySP Ghose,Low,No
0040/2021,Bengaluru Urban,Jayanagar PS,Fraud/Cheating,"420, 318",2021-09-02,2021-09-03,"033, Munshi Zila",16.74317,74.234385,Dakshesh Sangha,39,Female,03094548280,Gaurang Wali; Barkha Mukhopadhyay,44,Female,2,None,417538.0,Case Closed,Convicted,ASI Mittal,Medium,No
0041/2025,Belagavi,Shahapur PS,Robbery,"392, 309",2025-04-23,2025-04-23,"87/04, Deshmukh Nagar",12.300726,78.264907,Jagvi Bhardwaj,33,Male,09727629171,Unknown,,,0,Firearm,119653.2,Convicted,Compounded,ASI Rajan,High,No
0042/2019,Shivamogga,Vinoba Nagar PS,Drug Trafficking,"NDPS Act 20, NDPS Act 22",2019-11-19,2019-11-23,"22, Dixit Ganj",12.256691,74.115553,Zayan Sha,65,Other,01251682772,Unknown,,,0,None,0,Pending Court Trial,Pending,PSI Dalal,High,No
0043/2022,Hubballi-Dharwad,Dharwad Rural PS,Fraud/Cheating,"420, 318",2022-06-13,2022-06-18,"29/54, Jain Street",15.702881,74.544748,Kamala Batta,55,Other,1644856889,Vedant Narasimhan,24,Other,1,None,386354.2,Under Investigation,,DySP Kalita,Medium,No
0044/2022,Bengaluru Urban,Rajajinagar PS,Arson,"436, 324",2022-10-21,2022-10-26,"48/82, Gara Marg",14.534664,75.629846,Ati Kapoor,50,Other,2511047856,Laban Muni; Januja Bandi,18,Female,2,None,0,Case Closed,Convicted,ASI Lad,High,No
0045/2019,Shivamogga,Town PS,Eve Teasing/Harassment,"354, 354A",2019-12-23,2019-12-28,"H.No. 539, Solanki Zila",13.378769,77.832709,Chaitanya Master,59,Female,4275508080,Varsha Chokshi; Qarin Sethi; Karan Jani,47,Female,3,None,0,Pending Court Trial,Settled Out of Court,DySP Mallick,Low,No
0046/2020,Mysuru,Nazarbad PS,Rioting,"147, 191",2020-09-25,2020-09-28,"29/29, Butala Road",12.984839,77.590246,Ishanvi Chhabra,60,Female,+912167243148,Chaman Anand; Mitali Edwin,19,Female,2,Sharp Weapon,0,Pending Court Trial,Dismissed,PSI Chahal,Low,No
0047/2018,Ballari,Bruhat Bangalore PS,Arson,"436, 324",2018-02-11,2018-02-15,"32, Dass Ganj",16.334265,76.906563,Finn Nagi,23,Male,+913054173355,Urishilla Kalita; Rachana Rastogi; William Minhas,49,Other,3,None,0,FIR Registered,,PSI Chaudhuri,High,No
0048/2020,Bengaluru Urban,Indiranagar PS,Chain Snatching,"356, 304",2020-06-26,2020-06-29,"961, Savant Circle",15.352719,75.583147,Gauri Nagarajan,37,Other,4659732337,Balvan Singh; Ira Chaudhuri,48,Other,2,None,265695.5,Acquitted,Compounded,ASI Kulkarni,Medium,No
0049/2019,Hubballi-Dharwad,Vidyanagar PS,Domestic Violence,"498A, 85",2019-05-10,2019-05-15,"82, Chacko Path",16.572095,78.394732,Sudiksha Chatterjee,25,Other,05555545839,Faraj Oak,30,Male,1,Rope,0,Under Investigation,,CPI Palla,Medium,No
0050/2021,Hubballi-Dharwad,Hubballi Old City PS,Cybercrime - Phishing,"66C IT Act, 319",2021-04-28,2021-04-29,"465, Tiwari Path",16.381922,74.568258,Omkaar Suresh,37,Male,08949955588,Kamala Tripathi,35,Male,1,None,487160.32,Case Closed,Pending,Inspector Barad,Medium,No
0051/2024,Shivamogga,Town PS,Theft,"379, 303",2024-06-09,2024-06-11,"H.No. 01, Viswanathan",17.25481,75.803183,Balvan Sura,46,Female,8927901131,Om Modi,21,Female,1,None,470561.27,Case Closed,Convicted,ASI Lad,Low,No
0052/2024,Bengaluru Urban,Koramangala PS,Murder,"302, 103",2024-04-24,2024-04-26,"H.No. 67, Devan Path",14.162646,78.08827,Vasatika Solanki,33,Male,5809761370,Maya Dhar; Elijah Kapur; Pahal Sane,56,Other,3,Blunt Object,0,Under Investigation,,Inspector Dubey,High,No
0053/2024,Ballari,Bruhat Bangalore PS,Chain Snatching,"356, 304",2024-05-18,2024-05-22,"57, Sachar Ganj",12.5994,74.782161,Gagan Som,65,Male,+919577138435,Jagvi Krish,58,Male,1,None,132690.74,Under Investigation,,SI Chakraborty,Medium,No
0054/2025,Bengaluru Urban,HSR Layout PS,Rioting,"147, 191",2025-09-24,2025-09-28,"52/714, Hegde Circle",13.133967,75.190496,Varsha Kar,20,Male,00043287446,Hemani Nath; Warhi Subramaniam,36,Other,2,Rope,0,Case Closed,Compounded,SI Sekhon,Low,No
0055/2019,Ballari,Cowl Bazar PS,Eve Teasing/Harassment,"354, 354A",2019-04-16,2019-04-20,"68/789, Dewan Marg",15.665308,77.709081,Rajeshri Varma,27,Female,7484787311,Ansh Tank,22,Male,1,None,0,Charge Sheet Filed,Pending,PSI Vasa,Low,No
0056/2025,Shivamogga,Town PS,Rioting,"147, 191",2025-09-21,2025-09-23,"22/564, Sankaran Road",13.756251,75.126656,Ekapad Kulkarni,35,Other,+910975031821,Luke Wali; Suhani Gill; Sarthak Venkataraman,46,Male,3,None,0,Acquitted,Compounded,ASI Murthy,Low,No
0057/2024,Ballari,Cowl Bazar PS,Kidnapping,"363, 137",2024-06-18,2024-06-18,"H.No. 90, Nath Chowk",15.943493,76.212766,Warjas Pal,29,Female,05431368205,Siya Comar; Hredhaan Mangat; Qarin Prabhu,35,Male,3,None,0,Convicted,Dismissed,Inspector Naik,High,No
0058/2021,Kalaburagi,Station Bazaar PS,Vehicle Theft,"379, 303",2021-08-08,2021-08-13,"H.No. 735, Arya Marg",17.194962,76.475435,Maya Kakar,28,Female,+912810671582,Daniel Sur; Gaurav Chokshi; Brinda Chaudhary,49,Female,3,None,331460.48,Under Investigation,,ASI Khanna,Medium,No
0059/2019,Kalaburagi,Station Bazaar PS,Vehicle Theft,"379, 303",2019-04-20,2019-04-23,"56/720, Karan Circle",15.858437,76.243219,Yahvi Narang,70,Male,+912140703193,Ansh Pandya; Anusha Sahota; Faraj Rattan,44,Male,3,None,94197.48,FIR Registered,,CPI Shan,Medium,No
0060/2024,Bengaluru Urban,Whitefield PS,Kidnapping,"363, 137",2024-02-28,2024-02-29,"44/127, Thaker Chowk",15.762102,75.076839,Anjali Chaudhary,46,Other,07128101873,Gaurangi Wable; Charan Mohanty; Darpan Malhotra,25,Male,3,None,0,FIR Registered,,DySP Majumdar,High,No
0061/2022,Davanagere,P.G. Halli PS,Arson,"436, 324",2022-07-30,2022-07-30,"35/55, Thaman Path",18.028571,75.313377,Bahadurjit Deo,71,Male,+916084672249,Aarini Vala; Nidra Ramesh; Oscar Das,25,Other,3,None,0,Charge Sheet Filed,Dismissed,PSI Narayanan,High,No
0062/2020,Tumakuru,Bharathinagar PS,Counterfeiting,"489B, 178",2020-09-25,2020-09-28,"H.No. 672, Prasad Chowk",18.039739,76.28482,Ubika Ramachandran,42,Male,1867435453,Dalbir Balasubramanian,22,Female,1,None,0,Pending Court Trial,Pending,ASI Dube,Low,No
0063/2024,Hubballi-Dharwad,Dharwad Rural PS,Chain Snatching,"356, 304",2024-08-01,2024-08-05,"04, Nanda Ganj",16.840109,75.697445,Manbir Wason,49,Male,08485071513,Gabriel Chokshi; William Dara; Utkarsh Choudhry,52,Female,3,None,172889.41,Case Withdrawn,,Inspector Mishra,Medium,No
0064/2024,Belagavi,Shahapur PS,Domestic Violence,"498A, 85",2024-05-31,2024-06-03,"H.No. 44, Sabharwal Zila",16.436595,77.65134,Neel Madan,67,Female,09331853415,Unknown,,,0,Sharp Weapon,0,Charge Sheet Filed,Dismissed,DySP Date,Medium,No
0065/2018,Tumakuru,City PS,Counterfeiting,"489B, 178",2018-06-01,2018-06-02,"H.No. 04, Goyal Marg",15.181658,76.056176,Oscar Master,55,Female,05122066245,Unknown,,,0,None,0,Pending Court Trial,Convicted,ASI Sanghvi,Low,No
0066/2018,Mangaluru,Mangaladevi PS,Murder,"302, 103",2018-11-03,2018-11-06,"50, Saran Chowk",14.160066,75.424975,Vritti More,34,Female,3269532282,Odika Modi; Jagdish Chaudhari; Krishna Biswas,59,Male,3,Sharp Weapon,0,Convicted,Settled Out of Court,DySP Varty,High,No
0067/2018,Shivamogga,Town PS,Hit and Run,"304A, 106",2018-10-08,2018-10-09,"H.No. 97, Deol Chowk",16.822588,77.167509,Chasmum Baria,36,Male,+911618262500,Unknown,,,0,None,0,Pending Court Trial,Convicted,ASI Sharaf,Low,No
0068/2025,Mysuru,Krishnaraja PS,Cybercrime - Online Fraud,"66D IT Act, 318",2025-10-13,2025-10-15,"H.No. 18, Bera Zila",14.514808,75.098888,Girish Parmar,20,Female,06056407764,Unknown,,,0,None,147037.2,FIR Registered,,CPI Pillay,Medium,No
0069/2019,Tumakuru,City PS,Cybercrime - Online Fraud,"66D IT Act, 318",2019-12-19,2019-12-19,"H.No. 768, Som",13.277841,75.14897,Aadi Ganesan,42,Other,3762733171,Indira Das,49,Other,1,None,71987.3,Pending Court Trial,Compounded,ASI Ram,Medium,Yes
0070/2019,Shivamogga,Vinoba Nagar PS,Arson,"436, 324",2019-10-10,2019-10-10,"77/74, Dutta Chowk",14.697851,75.359548,Alexander Raghavan,40,Other,01669285181,Krish Dyal; Abeer Venkatesh,58,Female,2,None,0,Case Closed,Pending,DySP Comar,High,No
0071/2022,Shivamogga,Town PS,Domestic Violence,"498A, 85",2022-04-12,2022-04-16,"73/66, Uppal Marg",15.461503,77.086098,Jatin Deshpande,36,Other,02613642975,Yadavi Goyal; Girik Kaul,19,Other,2,Vehicle,0,Case Closed,Convicted,CPI Palla,Medium,No
0072/2020,Bengaluru Urban,Banashankari PS,Chain Snatching,"356, 304",2020-07-31,2020-08-04,"67/09, Rajagopal Marg",16.265986,74.615507,Ishwar Dani,32,Other,6725048851,Oeshi Nadkarni,57,Female,1,None,339043.35,Convicted,Compounded,DySP Mangat,Medium,No
0073/2018,Bengaluru Urban,Jayanagar PS,Rioting,"147, 191",2018-05-17,2018-05-21,"94/678, Kalla Road",12.425119,76.427335,Veda Mall,26,Male,+912475117541,Sathvik Chawla; Madhav Nagar,38,Other,2,Vehicle,0,Case Closed,Acquitted,PSI Dass,Low,No
0074/2020,Davanagere,Vidyanagar PS,Cybercrime - Online Fraud,"66D IT Act, 318",2020-11-18,2020-11-21,"939, Bir Path",16.77906,75.015266,Gunbir Ahuja,36,Other,+915303471959,Alexander Wadhwa; Inaya Kale,25,Female,2,None,481465.2,Case Withdrawn,,PSI Toor,Medium,No
0075/2022,Tumakuru,Bharathinagar PS,Robbery,"392, 309",2022-06-05,2022-06-05,"54, Raju Street",16.223856,76.121646,Chaitaly Wali,25,Female,07992125519,Raghav Chakraborty; Ishanvi Dora,34,Other,2,Vehicle,411297.44,Charge Sheet Filed,Convicted,CPI Halder,High,No
0076/2020,Davanagere,Vidyanagar PS,Hit and Run,"304A, 106",2020-06-25,2020-06-30,"50/859, Salvi Chowk",12.478439,78.258177,Abdul Venkatesh,70,Female,04226331784,Saumya Raghavan; Pahal Chana,59,Female,2,None,0,Under Investigation,,SI Chawla,Low,No
0077/2020,Shivamogga,Town PS,Assault,"323, 115",2020-08-19,2020-08-23,"181, Dani Zila",16.084453,77.751619,Suhani Patil,47,Female,7345879080,Oviya Guha; Chandresh Jain; Jagvi Dhawan,55,Other,3,Firearm,0,Under Investigation,,ASI Chadha,Medium,No
0078/2020,Hubballi-Dharwad,Hubballi Old City PS,Drug Trafficking,"NDPS Act 20, NDPS Act 22",2020-06-08,2020-06-11,"60/990, Deshpande Nagar",15.311261,78.400291,Rachita Arora,33,Female,+916361175742,Unknown,,,0,None,0,Case Closed,Pending,DySP Bhardwaj,High,No
0079/2021,Kalaburagi,Brahmapur PS,Fraud/Cheating,"420, 318",2021-02-04,2021-02-05,"H.No. 97, Sethi Road",15.97645,78.36992,Qabil Ravi,72,Female,04022640217,Unknown,,,0,None,331552.98,Case Withdrawn,,DySP Chauhan,Medium,No
0080/2019,Bengaluru Urban,Rajajinagar PS,Domestic Violence,"498A, 85",2019-05-31,2019-06-04,"09/15, Amble Marg",17.020506,76.681917,Devika Rout,71,Other,01211956585,Ayushman Purohit,55,Male,1,Blunt Object,0,Charge Sheet Filed,Acquitted,CPI Garde,Medium,No
0081/2020,Mangaluru,Bunder PS,Arson,"436, 324",2020-10-23,2020-10-24,"09/88, Chaudry Nagar",15.62197,74.071015,Jagvi Deol,73,Male,+912764322488,Alexander Goswami,18,Female,1,None,0,Under Investigation,,PSI Barad,High,No
0082/2023,Mangaluru,Kankanady PS,Eve Teasing/Harassment,"354, 354A",2023-11-25,2023-11-25,"H.No. 90, Vaidya Nagar",15.026871,78.25437,Bhavini Baria,48,Female,+914097830388,Faqid Devan; Jagvi Chada,50,Other,2,None,0,Convicted,Dismissed,SI Saini,Low,Yes
0083/2025,Davanagere,Vidyanagar PS,Rioting,"147, 191",2025-03-20,2025-03-20,"H.No. 918, Biswas Marg",17.794867,75.449503,Jyoti Patil,48,Female,08415949541,Pranav Banik; Turvi Sha; Rudra Bassi,24,Female,3,Rope,0,Under Investigation,,SI Mody,Low,No
0084/2025,Mangaluru,Mangaladevi PS,Hit and Run,"304A, 106",2025-02-06,2025-02-10,"H.No. 999, Anand Nagar",12.194249,77.158007,Qabil Sen,38,Female,+910295069034,Bimala Balakrishnan; Sathvik Contractor,47,Other,2,None,0,Pending Court Trial,Dismissed,Inspector Prasad,Low,No
0085/2023,Davanagere,P.G. Halli PS,Eve Teasing/Harassment,"354, 354A",2023-01-24,2023-01-25,"262, Varughese Ganj",14.487348,76.992985,Azaan Kuruvilla,70,Female,+911216691849,Atharv Divan; Tristan Deshpande; Ekansh Dash,44,Other,3,None,0,Case Closed,Pending,SI Kar,Low,No
0086/2018,Mangaluru,Kankanady PS,Counterfeiting,"489B, 178",2018-10-02,2018-10-02,"36, Loyal Nagar",16.671572,77.652962,Vincent Balay,23,Female,2814559340,Unknown,,,0,None,0,FIR Registered,,DySP Sethi,Low,No
0087/2024,Davanagere,P.G. Halli PS,Public Nuisance,"268, 270",2024-04-19,2024-04-23,"67, Natarajan Path",18.27879,76.701845,Wishi Jani,25,Female,8195666684,Nisha Mukhopadhyay; Krishna Batta,60,Female,2,None,0,Charge Sheet Filed,Convicted,DySP Hari,Low,No
0088/2025,Ballari,Cowl Bazar PS,Murder,"302, 103",2025-05-13,2025-05-16,"741, Rattan Zila",18.321826,77.682921,Michael Gaba,24,Female,4954129333,Prisha Seth; Charles Taneja,25,Female,2,Blunt Object,0,Charge Sheet Filed,Settled Out of Court,ASI Gulati,High,No
0089/2025,Davanagere,P.G. Halli PS,Hit and Run,"304A, 106",2025-05-18,2025-05-23,"11/19, Vaidya Street",17.589039,76.548445,Sai Venkatesh,29,Female,3556417453,Unnati Ganguly; Bina Joshi,39,Female,2,None,0,Charge Sheet Filed,Acquitted,SI Padmanabhan,Low,No
0090/2019,Mangaluru,Kankanady PS,Theft,"379, 303",2019-01-11,2019-01-16,"13/555, Dhar Ganj",16.937849,76.554171,Rohan Sehgal,42,Female,+913459498530,Ekalinga Dave; Mohammed Dhawan; Yashoda Mandal,39,Male,3,None,185341.52,Pending Court Trial,Pending,DySP Dhar,Low,No
0091/2024,Bengaluru Urban,Koramangala PS,Cybercrime - Online Fraud,"66D IT Act, 318",2024-12-05,2024-12-05,"297, Gaba Street",16.784602,74.512179,Vritti Choudhury,35,Female,5432878410,Chandani Gour; Gauri Mand; Avni Parikh,49,Other,3,None,221301.07,Acquitted,Acquitted,CPI Hora,Medium,No
0092/2023,Hubballi-Dharwad,Dharwad Rural PS,Public Nuisance,"268, 270",2023-06-17,2023-06-21,"H.No. 21, Dey",13.609936,74.950553,Aahana Nigam,20,Male,+911403258472,Utkarsh Deshmukh; Mitali Sarin; Aradhana Gill,56,Male,3,None,0,Acquitted,Acquitted,SI Kamdar,Low,No
0093/2019,Hubballi-Dharwad,Vidyanagar PS,Vehicle Theft,"379, 303",2019-05-07,2019-05-07,"94/81, Boase Path",17.333479,77.627901,Mahika Atwal,45,Male,+914710031575,Bachittar Dugal,42,Other,1,None,351983.8,Case Closed,Settled Out of Court,Inspector Gupta,Medium,No
